2026-08-08,14.0,304.0
2026-08-09,14.0,304.0
2026-08-10,14.0,304.0
2026-08-11,20.0,86.0
2026-08-12,92.0,63.0
2026-08-13,79.0,190.0
2026-08-14,61.0,24.0
2026-08-15,61.0,24.0
2026-08-16,61.0,24.0
2026-08-17,63.0,100.0
2026-08-18,221.0,185.0
2026-08-19,39.0,77.0
2026-08-20,130.0,381.0
2026-08-21,177.0,671.0
2026-08-22,177.0,671.0
2026-08-23,177.0,671.0
2026-08-24,177.0,671.0
2026-08-25,256.0,168.0
2026-08-26,48.0,305.0
2026-08-27,52.0,89.0
2026-08-28,11.0,237.0
2026-08-29,11.0,237.0
2026-08-30,16.0,266.0
2026-08-31,117.0,291.0
2026-09-01,167.0,157.0
2026-09-02,2.0,1030.0
