2026-08-08,5027.0,312.0
2026-08-09,5027.0,312.0
2026-08-10,47.0,1.0
2026-08-11,94.0,125.0
2026-08-12,94.0,125.0
2026-08-13,94.0,125.0
2026-08-14,155.0,42.0
2026-08-15,155.0,42.0
2026-08-16,52.0,21.0
2026-08-17,0,0
2026-08-18,243.0,259.0
2026-08-19,116.0,177.0
2026-08-20,151.0,82.0
2026-08-21,37.0,73.0
2026-08-22,215.0,90.0
2026-08-23,215.0,90.0
2026-08-24,215.0,90.0
2026-08-25,20.0,8.0
2026-08-26,46.0,39.0
2026-08-27,63.0,50.0
2026-08-28,701.0,77.0
2026-08-29,701.0,77.0
2026-08-30,198.0,329.0
2026-08-31,3.0,12.0
2026-09-01,305.0,305.0
2026-09-02,305.0,305.0
2026-09-03,305.0,305.0
2026-09-05,305.0,305.0
2026-09-06,305.0,305.0
2026-09-07,98.0,284.0
2026-09-08,98.0,284.0
2026-09-09,49.0,118.0
2026-09-12,33.0,99.0
2026-09-13,33.0,99.0
2026-09-14,1.0,18.0
2026-09-15,1.0,18.0
2026-09-16,49.0,203.0
2026-09-17,49.0,203.0
2026-09-18,20.0,78.0
2026-09-19,432.0,904.0
2026-09-20,432.0,904.0
2026-09-21,6.0,5.0
2026-09-22,79.0,3000.0
2026-09-23,221.0,7605.0
2026-09-24,123.0,5601.0
2026-09-25,1058.0,1548.0
2026-09-26,32.0,102.0
