2026-06-25,55.3
2026-06-26,56.7
2026-06-29,54.4
2026-06-30,52.4
2026-07-01,54.9
2026-07-02,57.2
2026-07-03,55.8
2026-07-06,55.7
2026-07-09,56.2
2026-07-10,54.2
2026-07-11,53.1
2026-07-12,53.4
2026-07-13,57.7
2026-07-14,55.2
2026-07-15,54.4
2026-07-16,57.9
2026-07-17,58.5
2026-07-18,58.9
2026-07-19,59.0
2026-07-20,57.9
2026-07-21,55.6
2026-07-22,56.3
2026-07-23,58.3
2026-07-24,57.3
2026-07-25,57.2
2026-07-27,57.5
2026-07-30,52.4
2026-07-31,51.8
2026-08-01,52.2
2026-08-02,52.1
2026-08-03,53.4
2026-08-04,54.7
2026-08-05,48.9
2026-08-06,47.8
2026-08-07,44.9
2026-08-08,45.1
2026-08-09,44.0
2026-08-10,42.4
2026-08-11,39.8
2026-08-12,38.5
2026-08-13,38.0
2026-08-14,35.4
2026-08-15,35.2
2026-08-16,35.8
2026-08-17,37.1
2026-08-18,38.2
2026-08-19,37.0
2026-08-20,37.5
2026-08-21,35.7
2026-08-22,35.8
2026-08-23,36.6
2026-08-24,36.6
2026-08-25,37.5
