2026-06-25,56.1
2026-06-26,56.8
2026-06-29,54.3
2026-06-30,54.5
2026-07-01,54.1
2026-07-02,54.5
2026-07-03,53.9
2026-07-06,54.6
2026-07-09,51.2
2026-07-10,52.2
2026-07-11,51.3
2026-07-12,52.3
2026-07-13,53.8
2026-07-14,52.3
2026-07-15,53.6
2026-07-16,54.1
2026-07-17,53.9
2026-07-18,53.8
2026-07-19,53.2
2026-07-20,50.9
2026-07-21,51.3
2026-07-22,51.7
2026-07-23,52.9
2026-07-24,51.5
2026-07-25,50.3
2026-07-27,50.7
2026-07-30,45.5
2026-07-31,41.8
2026-08-01,42.3
2026-08-02,42.2
2026-08-03,42.0
2026-08-04,41.6
2026-08-05,41.3
2026-08-06,40.9
2026-08-07,39.2
2026-08-08,38.4
2026-08-09,38.3
2026-08-10,38.8
2026-08-11,39.0
2026-08-12,44.8
2026-08-13,44.6
2026-08-14,44.3
2026-08-15,44.0
2026-08-16,44.4
2026-08-17,42.1
2026-08-18,41.9
2026-08-19,41.5
2026-08-20,58.3
2026-08-21,62.1
2026-08-22,69.7
2026-08-23,76.8
2026-08-24,75.0
2026-08-25,73.6
