2026-06-16,51.5
2026-06-17,50.1
2026-06-18,52.6
2026-06-19,54.6
2026-06-20,52.9
2026-06-22,54.3
2026-06-23,52.9
2026-06-24,52.9
2026-06-25,55.9
2026-06-26,57.9
2026-06-27,57.3
2026-06-29,58.6
2026-06-30,55.4
2026-07-01,53.8
2026-07-02,52.0
2026-07-03,49.7
2026-07-06,49.4
2026-07-09,47.8
2026-07-10,45.6
2026-07-11,45.9
2026-07-12,47.5
2026-07-13,48.2
2026-07-14,45.8
2026-07-15,47.1
2026-07-16,46.6
2026-07-17,46.0
2026-07-18,47.6
2026-07-19,48.0
2026-07-20,47.9
2026-07-21,48.9
2026-07-22,49.4
2026-07-23,49.5
2026-07-24,48.4
2026-07-25,49.3
2026-07-27,49.1
2026-07-30,49.1
2026-07-31,47.8
2026-08-01,48.1
2026-08-02,47.0
2026-08-03,46.9
2026-08-04,45.1
2026-08-05,44.4
2026-08-06,44.0
2026-08-07,42.7
2026-08-08,42.5
2026-08-09,44.0
2026-08-10,44.1
2026-08-11,43.3
2026-08-12,48.3
2026-08-13,44.3
2026-08-14,41.8
2026-08-15,46.4
2026-08-16,46.4
2026-08-17,45.0
