2026-06-25,87.2
2026-06-26,86.1
2026-06-27,87.4
2026-06-29,87.9
2026-06-30,87.6
2026-07-01,85.5
2026-07-02,86.4
2026-07-03,86.2
2026-07-06,87.1
2026-07-09,75.4
2026-07-10,67.3
2026-07-11,66.4
2026-07-12,66.1
2026-07-13,61.3
2026-07-14,60.7
2026-07-15,65.8
2026-07-16,65.3
2026-07-17,64.1
2026-07-18,63.5
2026-07-19,63.9
2026-07-20,64.6
2026-07-21,64.2
2026-07-22,64.2
2026-07-23,72.1
2026-07-24,72.2
2026-07-25,71.4
2026-07-27,67.7
2026-07-30,67.1
2026-07-31,64.0
2026-08-01,62.6
2026-08-02,62.2
2026-08-03,62.1
2026-08-04,59.4
2026-08-05,58.5
2026-08-06,58.5
2026-08-07,58.0
2026-08-08,57.2
2026-08-09,57.9
2026-08-10,57.0
2026-08-11,57.3
2026-08-12,60.0
2026-08-13,59.5
2026-08-14,57.0
2026-08-15,57.2
2026-08-16,56.7
2026-08-17,56.0
2026-08-18,56.2
2026-08-19,59.6
2026-08-20,69.8
2026-08-21,69.4
2026-08-22,71.0
2026-08-23,72.7
2026-08-24,74.0
2026-08-25,75.0
2026-08-26,71.6
2026-08-27,76.8
