2026-06-25,65.5
2026-06-26,65.8
2026-06-29,65.3
2026-06-30,71.4
2026-07-01,69.8
2026-07-02,68.0
2026-07-03,67.1
2026-07-06,64.8
2026-07-09,60.2
2026-07-10,58.7
2026-07-11,58.2
2026-07-12,57.1
2026-07-13,56.6
2026-07-14,55.9
2026-07-15,57.6
2026-07-16,58.4
2026-07-17,55.9
2026-07-18,54.4
2026-07-19,52.8
2026-07-20,52.8
2026-07-21,52.8
2026-07-22,53.8
2026-07-23,54.1
2026-07-24,53.1
2026-07-25,53.0
2026-07-27,51.8
2026-07-30,50.1
2026-07-31,46.3
2026-08-01,46.5
2026-08-02,46.0
2026-08-03,46.2
2026-08-04,44.8
2026-08-05,43.9
2026-08-06,41.3
2026-08-07,39.9
2026-08-08,39.1
2026-08-09,40.1
2026-08-10,40.3
2026-08-11,39.7
2026-08-12,43.4
2026-08-13,42.6
2026-08-14,43.1
2026-08-15,42.5
2026-08-16,41.9
2026-08-17,41.1
2026-08-18,41.6
2026-08-19,46.8
2026-08-20,64.8
2026-08-21,56.8
2026-08-22,61.1
2026-08-23,71.6
2026-08-24,71.5
2026-08-25,72.3
2026-08-26,61.0
2026-08-27,55.2
2026-08-28,68.2
2026-08-29,68.0
