2026-06-17,-121.3,-28.3,,,
2026-06-18,-70.6,-13.2,,,
2026-06-19,-70.6,-13.2,-0.5,,
2026-06-20,-71.8,-13.2,-0.4,40.91,42.0
2026-06-22,-69.3,-13.8,0.1,41.52,42.0
