2026-06-25,48.5
2026-06-26,47.0
2026-06-29,45.6
2026-06-30,44.9
2026-07-01,44.8
2026-07-02,43.3
2026-07-03,43.6
2026-07-06,43.7
2026-07-09,43.4
2026-07-10,40.9
2026-07-11,40.8
2026-07-12,40.7
2026-07-13,43.4
2026-07-14,41.5
2026-07-15,42.4
2026-07-16,44.7
2026-07-17,43.1
2026-07-18,43.2
2026-07-19,43.6
2026-07-20,44.1
2026-07-21,42.0
2026-07-22,43.3
2026-07-23,44.3
2026-07-24,42.8
2026-07-25,42.8
2026-07-27,42.6
2026-07-30,42.5
2026-07-31,41.1
2026-08-01,41.0
2026-08-02,41.4
2026-08-03,41.3
2026-08-04,43.1
2026-08-05,43.5
2026-08-06,42.1
2026-08-07,42.5
2026-08-08,42.5
2026-08-09,42.2
2026-08-10,46.2
2026-08-11,43.8
2026-08-12,43.0
2026-08-13,39.9
2026-08-14,38.8
2026-08-15,38.6
2026-08-16,39.9
2026-08-17,42.1
2026-08-18,40.0
2026-08-19,43.4
2026-08-20,44.6
2026-08-21,43.8
2026-08-22,44.0
2026-08-23,45.1
2026-08-24,45.1
2026-08-25,45.5
2026-08-26,44.0
