2026-08-08,279501.0,211524.0
2026-08-09,279501.0,211549.0
2026-08-10,358959.0,255022.0
2026-08-11,356752.0,172482.0
2026-08-12,253631.0,113549.0
2026-08-13,401426.0,329287.0
2026-08-14,314611.0,288627.0
2026-08-15,349967.0,296658.0
2026-08-16,349967.0,296658.0
2026-08-17,626065.0,247830.0
2026-08-18,313095.0,386695.0
2026-08-19,573673.0,265535.0
2026-08-20,367713.0,375705.0
2026-08-21,258476.0,349036.0
2026-08-22,286374.0,354037.0
2026-08-23,274157.0,347083.0
2026-08-24,274157.0,347083.0
2026-08-25,369358.0,257419.0
2026-08-26,636870.0,227946.0
2026-08-27,298554.0,211249.0
2026-08-28,438032.0,354816.0
2026-08-29,454479.0,358734.0
2026-08-30,454479.0,358734.0
2026-08-31,243653.0,98470.0
2026-09-01,233117.0,122303.0
