2026-06-25,63.2
2026-06-26,63.7
2026-06-29,63.9
2026-06-30,65.7
2026-07-01,67.7
2026-07-02,65.9
2026-07-03,65.2
2026-07-06,64.0
2026-07-09,61.9
2026-07-10,61.5
2026-07-11,59.6
2026-07-12,60.9
2026-07-13,61.4
2026-07-14,62.0
2026-07-15,72.2
2026-07-16,64.0
2026-07-17,62.3
2026-07-18,62.1
2026-07-19,62.0
2026-07-20,61.6
2026-07-21,61.2
2026-07-22,60.0
2026-07-23,60.3
2026-07-24,59.8
2026-07-25,55.3
2026-07-27,55.7
2026-07-30,55.0
2026-07-31,53.5
2026-08-01,53.8
2026-08-02,53.9
2026-08-03,53.9
2026-08-04,55.9
2026-08-05,56.6
2026-08-06,56.5
2026-08-07,55.6
2026-08-08,55.7
2026-08-09,56.3
