2026-08-08,196.0,321.0
2026-08-09,196.0,321.0
2026-08-10,2.0,2.0
2026-08-11,2.0,2.0
2026-08-12,2.0,2.0
2026-08-13,2.0,2.0
2026-08-14,586.0,83.0
2026-08-15,586.0,83.0
2026-08-16,586.0,83.0
2026-08-17,5.0,25.0
2026-08-18,93.0,12.0
2026-08-19,329.0,22.0
2026-08-20,3391.0,949.0
2026-08-21,193.0,348.0
2026-08-22,193.0,348.0
2026-08-23,193.0,348.0
2026-08-24,193.0,348.0
2026-08-25,237.0,122.0
2026-08-26,237.0,122.0
2026-08-27,63.0,144.0
2026-08-28,886.0,451.0
2026-08-29,884.0,495.0
2026-08-30,884.0,495.0
2026-08-31,13.0,1.0
2026-09-01,429.0,252.0
2026-09-02,15.0,1.0
