2026-08-08,41.0,72.0
2026-08-09,41.0,72.0
2026-08-10,48.0,44.0
2026-08-11,235.0,160.0
2026-08-12,46.0,24.0
2026-08-13,285.0,674.0
2026-08-14,132.0,325.0
2026-08-15,145.0,325.0
2026-08-16,145.0,325.0
2026-08-17,67.0,698.0
2026-08-18,304.0,301.0
2026-08-19,71.0,170.0
2026-08-20,451.0,251.0
2026-08-21,4316.0,28.0
2026-08-22,4331.0,32.0
2026-08-23,4329.0,31.0
2026-08-24,4329.0,31.0
2026-08-25,124.0,960.0
2026-08-26,153.0,122.0
2026-08-27,93.0,536.0
2026-08-28,15.0,152.0
2026-08-29,15.0,152.0
2026-08-30,15.0,152.0
2026-08-31,120.0,43.0
2026-09-01,81.0,199.0
2026-09-02,182.0,35.0
2026-09-03,106.0,241.0
2026-09-05,144.0,226.0
2026-09-06,144.0,226.0
2026-09-07,754.0,330.0
2026-09-08,119.0,100.0
2026-09-09,842.0,505.0
2026-09-12,193.0,383.0
2026-09-13,193.0,383.0
2026-09-14,348.0,351.0
2026-09-15,211.0,211.0
2026-09-16,465.0,290.0
2026-09-17,167.0,538.0
2026-09-18,3916.0,135.0
2026-09-19,3927.0,136.0
2026-09-20,3927.0,136.0
2026-09-21,135.0,106.0
2026-09-22,76.0,136.0
2026-09-23,76.0,136.0
2026-09-24,205.0,308.0
