2026-08-08,4018.0,601.0
2026-08-09,4018.0,601.0
2026-08-10,4023.0,635.0
2026-08-11,951.0,2090.0
2026-08-12,2416.0,2163.0
2026-08-13,2625.0,528.0
2026-08-14,2712.0,554.0
2026-08-15,2712.0,554.0
2026-08-16,2712.0,554.0
2026-08-17,761.0,380.0
2026-08-18,846.0,402.0
2026-08-19,1335.0,185.0
2026-08-20,702.0,180.0
2026-08-21,934.0,246.0
2026-08-22,848.0,401.0
2026-08-23,848.0,401.0
2026-08-24,848.0,401.0
2026-08-25,854.0,445.0
2026-08-26,396.0,163.0
2026-08-27,554.0,279.0
2026-08-28,1246.0,300.0
2026-08-29,1475.0,436.0
2026-08-30,1475.0,436.0
2026-08-31,3551.0,136.0
2026-09-01,1083.0,262.0
2026-09-02,1576.0,369.0
2026-09-03,17746.0,1050.0
2026-09-05,1135.0,255.0
